link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image,postal_code,city,Population,Superficie,Densité,Infos_ville,latitude,longitude,price_per_m2,is_complete
https://www.etreproprio.com/immobilier-23433108-vente-appartement-marseille-3-pieces-49m2-marseille-13e,109000,49,3.0,D,D,— Marseille-13e 13013 —,Référence: 332,,,https://storage.etreproprio.com/classified/image/thumb/w/s/p/9ba57ebc-1d82-44af-855f-2703880657f3_ptw0.jpeg,13013,Marseille 13e,877215 hab.,"240,62 km²",3646 hab/km²,"Marseille (en occitan provençal Marselha ou Marsiho ) est une commune française située dans le département des Bouches-du-Rhône, dont elle est la ville-préfecture. Elle est le chef-lieu de la région Provence-Alpes-Côte d'Azur.",43.340303,5.429033,2224.4897959183672,True
https://www.etreproprio.com/immobilier-23432650-vente-appartement-limoges-5-pieces-10583-m2-limoges,185000,106,5.0,C,C,— Limoges 87000 —,Référence: 8291,,,https://storage.etreproprio.com/classified/image/thumb/o/g/q/42b217a2-a348-439d-826a-aca4a2c87f92_ptw0.jpeg,87000,Limoges,129754 hab.,"77,45 km²",1675 hab/km²,"Limoges est une commune de Nouvelle-Aquitaine, préfecture du département de la Haute-Vienne, capitale de la province historique du Limousin, et chef-lieu de l' ancienne région administrative du même nom avant 2016.",45.856159,1.221254,1745.2830188679245,True
https://www.etreproprio.com/immobilier-23430875-vente-charmant-f4-renove-avec-balcons-dans-quartier-paisible-proche-commodites-mulhouse,99000,68,4.0,D,,— Mulhouse 68200 —,,,,https://storage.etreproprio.com/classified/image/thumb/f/l/e/8e3b9a9e-5dc2-421f-b08b-aec2c8f6a203_ptw0.jpeg,68200,Mulhouse,104924 hab.,"22,18 km²",4731 hab/km²,"Mulhouse, est une commune française située dans la collectivité européenne d'Alsace. Elle est une des trois sous-préfectures et la première commune du Haut-Rhin en nombre d'habitants, la deuxième d'Alsace (après Strasbourg ) et la quatrième agglomération du Grand Est.",47.751661,7.326517,1455.8823529411766,False
https://www.etreproprio.com/immobilier-23430337-vente-appartement-2-chambres-a-vendre-royan,284000,58,3.0,D,B,— Royan 17200 —,Référence: 749351010-221,,,https://storage.etreproprio.com/classified/image/thumb/c/j/z/08da7ea4-7d5a-4fe7-9c61-d1ed2989e934_ptw0.jpeg,17200,Royan,19322 hab.,"19,30 km²",1001 hab/km²,"Royan est une commune du Sud-Ouest de la France, située dans le département de la Charente-Maritime ( région Nouvelle-Aquitaine ). Ses habitants sont appelés les Royannais et les Royannaises.",45.634186,-1.017415,4896.551724137931,True
https://www.etreproprio.com/immobilier-23430817-vente-appartement-renove-type-ii-place-saint-imbach-avec-cour-et-cave-angers,150600,29,2.0,C,A,— Angers 49100 —,,,,https://storage.etreproprio.com/classified/image/thumb/g/s/d/d3a1ae60-1c36-4a59-b6cb-a6162e6b43ca_ptw0.jpeg,49100,Angers,157555 hab.,"42,71 km²",3689 hab/km²,"Angers est une commune de l'Ouest de la France traversée par la Maine, chef-lieu et siège de la préfecture du département de Maine-et-Loire dans la région Pays de la Loire.",47.467471,-0.561615,5193.103448275862,False
https://www.etreproprio.com/immobilier-23430484-vente-3-pieces-basse-californie-terrasse-cave-renove-cannes,593600,60,3.0,D,D,— Cannes 06400 —,Référence: 1453,,,https://storage.etreproprio.com/classified/image/thumb/e/r/m/9ffec710-57c0-4691-b33b-27d9e9c40f6c_ptw0.jpeg,06400,Cannes,74040 hab.,"19,62 km²",3774 hab/km²,"Cannes ( ou localement ) est une commune française de la communauté d'agglomération Cannes Pays de Lérins située dans le département des Alpes-Maritimes, en région Provence-Alpes-Côte d'Azur, sur la Côte d'Azur dont elle est une ville phare. Ses habitants sont appelés les Cannois.",43.555468,7.004585,9893.333333333334,True
https://www.etreproprio.com/immobilier-23429506-vente-appartement-67m-a-saint-laurent-du-var-saint-laurent-du-var,458000,67,3.0,D,D,— Saint-Laurent-Du-Var 06700 —,Référence: 515V1891A,,,https://storage.etreproprio.com/classified/image/thumb/u/r/k/718a96b4-f72d-4aab-b398-578e64d3934d_ptw0.jpeg,06700,Saint Laurent Du Var,,,,ℹ️ Aucune information disponible.,43.686846,7.18367,6835.820895522388,True
https://www.etreproprio.com/immobilier-23430927-vente-appartement-85m-a-paris-17e-paris-17e,930000,85,4.0,D,D,— Paris-17e 75017 —,Référence: IPAM3583H,,,https://storage.etreproprio.com/classified/image/thumb/d/x/c/44821630-78aa-40bf-a593-a1fd122964a8_ptw0.jpeg,75017,Paris 17e,2113705 hab.,"105,40 km²",20054 hab/km²,"Paris, officiellement la Ville de Paris est la capitale de la France ainsi qu'une collectivité à statut particulier. Elle est divisée en vingt arrondissements.",48.887702,2.304844,10941.176470588236,True
https://www.etreproprio.com/immobilier-23433237-vente-appartement-atypique-en-duplex-montmartre-lamarck-caulaincourt-paris-18e,300000,31,2.0,G,C,— Paris-18e 75018 —,Référence: 693,,,https://storage.etreproprio.com/classified/image/thumb/q/o/v/ba27a0e0-dfc2-49ff-9383-38beeebe1cc2_ptw0.jpeg,75018,Paris 18e,2113705 hab.,"105,40 km²",20054 hab/km²,"Paris, officiellement la Ville de Paris est la capitale de la France ainsi qu'une collectivité à statut particulier. Elle est divisée en vingt arrondissements.",48.892045,2.348679,9677.41935483871,True
https://www.etreproprio.com/immobilier-23430054-vente-paris-17-guy-moquet-appartement-3p-terrasses-paris-17e,1090000,56,3.0,E,B,— Paris-17e 75017 —,Référence: TE3-7620,,,https://storage.etreproprio.com/classified/image/thumb/c/r/p/51d1b471-5bc7-4e05-9d53-ffb5a89a699a_ptw0.jpeg,75017,Paris 17e,2113705 hab.,"105,40 km²",20054 hab/km²,"Paris, officiellement la Ville de Paris est la capitale de la France ainsi qu'une collectivité à statut particulier. Elle est divisée en vingt arrondissements.",48.887702,2.304844,19464.285714285714,True
