link,price,surface,rooms,DPE,GES,location,reference,exterieur,stationnement,image
https://www.etreproprio.com/immobilier-23432650-vente-appartement-limoges-5-pieces-10583-m2-limoges,185000 €,106 m²,5 pièces,C,C,— Limoges 87000 —,Référence: 8291,,,https://storage.etreproprio.com/classified/image/thumb/o/g/q/42b217a2-a348-439d-826a-aca4a2c87f92_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430875-vente-charmant-f4-renove-avec-balcons-dans-quartier-paisible-proche-commodites-mulhouse,99000 €,68 m²,4 pièces,D,,— Mulhouse 68200 —,,,,https://storage.etreproprio.com/classified/image/thumb/f/l/e/8e3b9a9e-5dc2-421f-b08b-aec2c8f6a203_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430337-vente-appartement-2-chambres-a-vendre-royan,284000 €,58 m²,3 pièces,D,B,— Royan 17200 —,Référence: 749351010-221,,,https://storage.etreproprio.com/classified/image/thumb/c/j/z/08da7ea4-7d5a-4fe7-9c61-d1ed2989e934_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430817-vente-appartement-renove-type-ii-place-saint-imbach-avec-cour-et-cave-angers,150600 €,29 m²,2 pièces,C,A,— Angers 49100 —,,,,https://storage.etreproprio.com/classified/image/thumb/g/s/d/d3a1ae60-1c36-4a59-b6cb-a6162e6b43ca_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430484-vente-3-pieces-basse-californie-terrasse-cave-renove-cannes,593600 €,60 m²,3 pièces,D,D,— Cannes 06400 —,Référence: 1453,,,https://storage.etreproprio.com/classified/image/thumb/e/r/m/9ffec710-57c0-4691-b33b-27d9e9c40f6c_ptw0.jpeg
https://www.etreproprio.com/immobilier-23429506-vente-appartement-67m-a-saint-laurent-du-var-saint-laurent-du-var,458000 €,67 m²,3 pièces,D,D,— Saint-Laurent-Du-Var 06700 —,Référence: 515V1891A,,,https://storage.etreproprio.com/classified/image/thumb/u/r/k/718a96b4-f72d-4aab-b398-578e64d3934d_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430927-vente-appartement-85m-a-paris-17e-paris-17e,930000 €,85 m²,4 pièces,D,D,— Paris-17e 75017 —,Référence: IPAM3583H,,,https://storage.etreproprio.com/classified/image/thumb/d/x/c/44821630-78aa-40bf-a593-a1fd122964a8_ptw0.jpeg
https://www.etreproprio.com/immobilier-23433237-vente-appartement-atypique-en-duplex-montmartre-lamarck-caulaincourt-paris-18e,300000 €,31 m²,2 pièces,G,C,— Paris-18e 75018 —,Référence: 693,,,https://storage.etreproprio.com/classified/image/thumb/q/o/v/ba27a0e0-dfc2-49ff-9383-38beeebe1cc2_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430054-vente-paris-17-guy-moquet-appartement-3p-terrasses-paris-17e,1090000 €,56 m²,3 pièces,E,B,— Paris-17e 75017 —,Référence: TE3-7620,,,https://storage.etreproprio.com/classified/image/thumb/c/r/p/51d1b471-5bc7-4e05-9d53-ffb5a89a699a_ptw0.jpeg
https://www.etreproprio.com/immobilier-22594450-vente-appartement-saint-ouen-sur-seine-2-pieces-46-m2-saint-ouen,270000 €,46 m²,2 pièces,G,C,— Saint-Ouen 93400 —,Référence: 0072,,,https://www.etreproprio.com/photo-immobilier-22594450/vente-appartement-saint-ouen-bnns-ptw0.jpeg
https://www.etreproprio.com/immobilier-22893443-vente-appartement-20m-a-le-portel-le-portel,47900 €,20 m²,1 pièce,F,E,— Le Portel 62480 —,Référence: 14869FA,,,https://storage.etreproprio.com/classified/image/thumb/f/c/t/51166164-2190-45a9-85be-b025b9be1a16_ptw0.jpeg
https://www.etreproprio.com/immobilier-23432300-vente-maison-3-pieces-avec-jardin-chennevieres-sur-marne,299000 €,62 m²,3 pièces,E,C,— Chennevieres-Sur-Marne 94430 —,,,,https://storage.etreproprio.com/classified/image/thumb/w/f/i/7e7c4fb2-65a0-44bb-b6dc-c0455ce7320e_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430946-vente-appartement-35m-a-cagnes-sur-mer-cagnes-sur-mer,199500 €,36 m²,,C,A,— Cagnes-Sur-Mer 06800 —,Référence: 510V2611A,,,https://storage.etreproprio.com/classified/image/thumb/b/o/r/b258b587-4fcb-44dd-b757-4cf78b09278f_ptw0.jpeg
https://www.etreproprio.com/immobilier-23431741-vente-appartement-80m-a-boulogne-sur-mer-boulogne-sur-mer,169900 €,80 m²,3 pièces,C,A,— Boulogne-Sur-Mer 62200 —,Référence: 15444,,,https://storage.etreproprio.com/classified/image/thumb/p/a/p/3101b28c-64e7-4aa6-b5af-34fc3e5896c6_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434390-vente-appartement-60m-a-boussy-saint-antoine-boussy-saint-antoine,148000 €,60 m²,3 pièces,D,D,— Boussy-Saint-Antoine 91800 —,Référence: 1860827,,,https://storage.etreproprio.com/classified/image/thumb/o/b/h/77a726d4-3bb8-4797-b34b-f6e18a37f554_ptw0.jpeg
https://www.etreproprio.com/immobilier-23125629-vente-appartement-62m-a-wattrelos-wattrelos,155000 €,62 m²,3 pièces,E,E,— Wattrelos 59150 —,Référence: 1836939,Balcon,Garage,
https://www.etreproprio.com/immobilier-23428622-vente-appartement-3-pieces-61m2-bourgoin-jallieu,180000 €,61 m²,3 pièces,C,C,— Bourgoin-Jallieu 38300 —,,Balcon,Stationnement,https://storage.etreproprio.com/classified/image/thumb/y/f/a/85f41ead-005d-47ca-a673-c2f157a0f8ff_ptw0.jpeg
https://www.etreproprio.com/immobilier-22700225-vente-appartement-saint-louis-3-pieces-entierement-renove-6475-m2-saint-louis,229000 €,65 m²,3 pièces,E,E,— Saint-Louis 68300 —,Référence: 246,Balcon,,https://storage.etreproprio.com/classified/image/thumb/k/f/l/2756e7ff-b51a-42d2-ba61-c8d749f88c37_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430476-vente-appartement-115m-a-paris-17e-paris-17e,1199000 €,115 m²,4 pièces,,,— Paris-17e 75017 —,Référence: 86354003,Balcon,,https://storage.etreproprio.com/classified/image/thumb/a/k/i/27a72676-45d4-4064-92e9-627bd8e89e4b_ptw0.jpeg
https://www.etreproprio.com/immobilier-23430806-vente-appartement-saint-cyr-l-ecole-3-pieces-59-m2-saint-cyr-l-ecole,304500 €,59 m²,3 pièces,B,,— Saint-Cyr-L'ecole 78210 —,Référence: 209,Balcon,,https://storage.etreproprio.com/classified/image/thumb/k/l/u/956b4cba-12dc-4572-92b4-889e7cf8ce10_ptw0.jpeg
https://www.etreproprio.com/immobilier-22310654-vente-appartement-type-3-pieces-saint-denis,245000 €,68 m²,3 pièces,E,D,— Saint-Denis 93200 —,Référence: 0844,Balcon,,https://www.etreproprio.com/photo-immobilier-22310654/vente-appartement-saint-denis-cszs-ptw0.jpeg
https://www.etreproprio.com/immobilier-23432524-vente-appartement-villeurbanne-place-marengo-t4-de-90-m2-villeurbanne,315000 €,90 m²,4 pièces,C,C,— Villeurbanne 69100 —,Référence: 1922,Balcon,,https://storage.etreproprio.com/classified/image/thumb/o/l/h/ce269615-f25d-4a32-9297-37ec2a8f82a0_ptw0.jpeg
https://www.etreproprio.com/immobilier-23434462-vente-appartement-121m-a-saint-privat-la-montagne-saint-privat-la-montagne,225000 €,121 m²,4 pièces,D,D,— Saint-Privat-La-Montagne 57855 —,Référence: 1861212,Balcon,,https://storage.etreproprio.com/classified/image/thumb/g/z/s/9517a8d6-cf47-43b1-b8da-dbda262a5e9a_ptw0.jpeg
https://www.etreproprio.com/immobilier-23429897-vente-2-pieces-avec-grande-hauteur-sous-plafond-paris-20e,227000 €,24 m²,2 pièces,E,B,— Paris-20e 75020 —,Référence: 86235939,,,
https://www.etreproprio.com/immobilier-23316149-vente-appartement-38m-a-marseille-10e-arrondissement-marseille-10e,119000 €,38 m²,2 pièces,D,D,— Marseille-10e 13010 —,Référence: WW204,,,https://storage.etreproprio.com/classified/image/thumb/d/w/p/57e92d91-9056-467c-a59f-1614114e7cd4_ptw0.jpeg
https://www.etreproprio.com/immobilier-23428433-vente-appartement-43m-a-groisy-groisy,241500 €,43 m²,2 pièces,D,D,— Groisy 74570 —,Référence: 506-NGL32,,,https://storage.etreproprio.com/classified/image/thumb/u/a/h/d7b9aa15-2d12-43da-a74c-e37b2bc27b1f_ptw0.jpeg
